context,response
"And arrhythmia. The psychotic break caused a surge of adrenaline, but no irregular heartbeat. Heart's not the pRoblem. We're both wrong.",So what causes lung issues and delirium? And is not based on wishful thinking that she's safe and happy?
Prinzmetal angina.,"Silent and unhappy is better than vocal and unhelpful. If you'd run the echo that you didn't run before giving her the beta-blockers that you didn't give her ï¿½ If you'd listened to what Kutner just said, you'd know it's not a heart pRoblem."
No reason it couldn't cause an artery in the brain to spasm. Leads to the delirium and the pulmonary edema.,"Foreman, give her ergonovine to cause vasospasms, and run an fMRI to see which artery's dancing. And when I say Foreman, I mean! Foreman. I want his signature on the paperwork. I want videotape. I want photographs of him with the Patient on today's newspaper."
"No signs of spasm, impeded blood flow, or brain dysfunction. It's not Prinzmetal's. All the fMRI showed is House was right. She was lying.",Only relevant if it can cause pulmonary edema and delirium.
"We find out our Patient's been raped, and that's your response?",Is she a psych Patient?
Rape could mean STD.,"Thank goodness one of you doesn't have a heart. Maybe if we all stopped wringing our hands, we could solve this thing and let her live to have a few more nightmares."
No sign in her bloodwork. Could be lying about the rape.,"Yesterday, you were all BFF. Now you think she's pathological."
She lied about dead parents because it's better than rapist parents. You find that unsympathetic?,That's it.
What's it?,Her whole life's a mess. What rhymes with mess?
"It's not stress. She has none of the usual Manifestations. No hormone imbalance, no cardiac ï¿½","Yeah, she's drowning in her own lungs, and she's delirious. She's a picture of emotional health. SEvere emotional stress can lead to asymmetric function of the midbrain. Explains the delirium. Interruption of the brain-heart coupling could cause pulmonary edema."
"Even if House is wrong, the treatment's basically anti-anxiety meds. Hard to argue with.","Yes. I agree. It does explain Everything. Thirteen, load her up on diazepam. Foreman, make sure she does it. Thirteen, make sure he makes sure."
"Yes. I agree. It does explain Everything. Thirteen, load her up on diazepam. Foreman, make sure she does it. Thirteen, make sure he makes sure.",I went to Cuddy's House. But I didn't go in. Went home without ringing either her metaphorical or actual bell.
Huh.,You're processing.
I'm scrubbing.,"""Huh"" means processing."
"""Huh"" means acknowledging. If you prefer, I could say ""ha,"" or ""hmm,"" or ï¿½",No insights? No opinions? You're disappointed.
You made the decision. I can't tell you what's right for you.,Seriously? 'Cause last week you could. Last year you could. Seems to come pretty easy to you.
Do you want me to tell you what you should do?,I want you to stop thinking that acting inscrutable makes you anything other than annoying.
Interesting.,Holding things in can give you cancer!
Labs show the brown urine was caused by shredded red cells.,"So what messes with her lungs, her mental status, and runs her blood through a wood Parkpper?"
"No, her sodium's normal.","What does her furniture look like? Said it was homemade. Old boxes, what?"
It was wood nailed together.,The wood have little dents or holes?
The desk did. Looked like she had stapled stuff all over it.,"Holes means that it was pressure-treated. Sawing or burning it releases arsenic into the air, into her lungs."
Tests didn't show ï¿½,Because it found a cloak of invisibility hiding ï¿½
"Magical lesions, which appear out of nowhere.","She was cured, then she wasn't."
WBC count would be through the roof.,Put the arsenic back.
You wanna treat a Patient nearly poisoned to death by giving her more poison?,Just because we call something a poison doesn't mean it's bad for you.
It was killing her.,"But since she's still dying, the arsenic obviously wasn't killing her. And since she's now getting worse, the arsenic was obviously fighting the killer. It's a hero. We should be organizing a parade."
APL explains the lesions and why they appeared after we took the arsenic out.,"So, put the arsenic back."
Best match would be a sibling or a parent.,"Biopsy a lesion, confirm that she's dying, then load her up with arsenic. Keep her alive till you can convince her that rapist marrow and rapist-enabling marrow work just as well as the unleaded stuff."
We need to talk.,This about the case you didn't want me to know about?
Cuddy?,Foreman. You didn't flinch when you found out about a sixteen-year-old who could be dying in the next few days. Means you're here about someone Even younger dying Even faster.
He needs you.,But he has you.
This boy is going to die. You selfish enough to let it happen?,Pot calling a kettle a pot?
"You're a hypocrite. If our job is to find out what's killing Patients, you'd help this kid. But you'd rather play mind games to prove you're the only one with magical powers.",Wanted something all your own? Now you got it.
Wanted something all your own? Now you got it.,Your disengagement won't work.
I can see that.,"You think that when you tell me what I should do, my instincts are to push back, so that by not telling me what you think I should do, I'll do what you think I should do."
I sound convoluted.,Disengagement is neither artful nor effective.
So my not doing anything isn't causing you to do anything?,Right.
I'm okay with that.,"No, you're not. You are designed to have opinions and to force them on people."
"It's her life. Point wasn't I'm dying. Point was she should live. You should have told her. Instead you tell her to call the cops, give her stats on DNA markers. Everything's by the book. Nothing's Ever personal.",Trying to sleep here!
Biopsy confirmed APL. She needs a bone marrow transplant.,Run the donor banks. I'm going home.
We need to track down her parents.,"I assume she's already said no to that idea, or there'd be no need to screw up your courage before saying it."
Parkldren who've been through trauma can't think clearly. Parkldren who've been through trauma and are dying ï¿½,Guess I'm the only one who cares about Patient rights.
What she wants could kill her. What she needs could save her.,"Our job is to find out what's killing Patients, not treat them for chronic idiocy."
Idiocy is what's killing her.,"And since we can't cure that, I'm going home."
"We could save this Patient, but all you care about is getting your answer.",Your point being?
Donor list turned up a partial match.,So treat her.
It's only a three out of six.,So don't treat her.
She may not last the week. Partial's better than nothing.,So treat her.
She'll reject it. And she'll be too weak to try again when a better match turns up.,"It's my turn now, right?"
If a better match turns up.,"Well, when you decide, get back to me."
She's scared.,Not scared enough. Tell her the thing about emotional reactions is they're definitionally irrational. Or stupid. Might wanna phrase that in your own words.
She wants to deny her parents the satisfaction of saving her life.,That's your rational explanation of her emotional response.
